ProductDates,Length,IntangibleDryWell,IntangibleCompletion,TangibleDryWell,TangibleCompletion,TotalIntangible,TotalTangible,TotalCost
27-Oct-2014,9813.00,5324000.00,6188500.00,521000.00,930000.00,11512500.00,1451000.00,12963500.00
28-Oct-2014,9813.00,5324000.00,6188500.00,521000.00,930000.00,11512500.00,1451000.00,12963500.00
10-Nov-2014,10230.00,3743304.00,6070500.00,656696.00,202000.00,9813804.00,858696.00,10672500.00
17-Nov-2014,4452.00,2690000.00,3103000.00,502000.00,778000.00,5793000.00,1280000.00,7073000.00
18-Nov-2014,4308.50,3412073.00,6440724.00,469918.00,435084.00,9852797.00,905002.00,10757799.00
19-Nov-2014,2631.58,2210090.00,3400090.00,504900.00,1026500.00,5610180.00,1531400.00,7141580.00
21-Nov-2014,5300.00,3133396.00,3721280.00,373368.00,497842.00,6854676.00,871210.00,7725886.00
25-Nov-2014,9828.00,5128000.00,6178500.00,535000.00,904000.00,11306500.00,1439000.00,12745500.00
25-Nov-2014,9828.00,5128000.00,6178500.00,535000.00,904000.00,11306500.00,1439000.00,12745500.00
1-Dec-2014,4550.00,3726832.00,6268200.00,673168.00,192500.00,9995032.00,865668.00,10860700.00
9-Dec-2014,3736.84,1643500.00,3147000.00,308931.25,185700.00,4790500.00,494631.25,5285131.25
22-Dec-2014,10000.00,4032300.00,6640500.00,667700.00,202000.00,10672800.00,869700.00,11542500.00
30-Dec-2014,9828.00,5128000.00,6178500.00,535000.00,904000.00,11306500.00,1439000.00,12745500.00
5-Jan-2015,10000.00,3893304.00,6360000.00,656696.00,202000.00,10253304.00,858696.00,11112000.00
5-Jan-2015,5000.00,1951450.00,2823800.00,290525.00,414900.00,4775250.00,705425.00,5480675.00
6-Jan-2015,4789.47,2733815.00,3696280.00,379668.00,499026.00,6430095.00,878694.00,7308789.00
6-Jan-2015,10000.00,3538200.00,6246500.00,661800.00,444000.00,9784700.00,1105800.00,10890500.00
12-Jan-2015,5000.00,2245350.00,2467700.00,364525.00,364300.00,4713050.00,728825.00,5441875.00
23-Jan-2015,10000.00,2586009.00,5137200.00,586512.00,192500.00,7723209.00,779012.00,8502221.00
29-Jan-2015,9730.00,3323000.00,5768000.00,458000.00,951420.00,9091000.00,1409420.00,10500420.00
29-Jan-2015,9730.00,3323000.00,5768000.00,458000.00,951400.00,9091000.00,1409400.00,10500400.00
6-Feb-2015,10230.00,3893304.00,6017500.00,656696.00,202000.00,9910804.00,858696.00,10769500.00
6-Feb-2015,10000.00,3893304.00,6360000.00,656696.00,202000.00,10253304.00,858696.00,11112000.00
11-Feb-2015,10000.00,3726832.00,7232015.00,673168.00,313000.00,10958847.00,986168.00,11945015.00
17-Feb-2015,4789.47,2034466.00,2438200.00,465534.00,207500.00,4472666.00,673034.00,5145700.00
9-Mar-2015,10323.00,3956000.00,4772400.00,406000.00,868000.00,8728400.00,1274000.00,10002400.00
9-Mar-2015,10083.00,5262000.00,6178500.00,521000.00,937000.00,11440500.00,1458000.00,12898500.00
9-Mar-2015,7243.00,4842000.00,5530500.00,545000.00,898000.00,10372500.00,1443000.00,11815500.00
19-Mar-2015,7243.00,4842000.00,5530500.00,545000.00,898000.00,10372500.00,1443000.00,11815500.00
19-Mar-2015,10083.00,5262000.00,6178500.00,521000.00,937000.00,11440500.00,1458000.00,12898500.00
19-Mar-2015,7243.00,4842000.00,5530500.00,545000.00,898000.00,10372500.00,1443000.00,11815500.00
24-Mar-2015,5200.00,5097648.00,6289624.00,542309.00,569392.00,11387272.00,1111701.00,12498973.00
28-Mar-2015,10083.00,5262000.00,6178500.00,521000.00,937000.00,11440500.00,1458000.00,12898500.00
1-Apr-2015,4623.00,4141000.00,3008500.00,544000.00,823000.00,7149500.00,1367000.00,8516500.00
1-Apr-2015,5000.00,2485064.00,2681096.00,669459.00,388800.00,5166160.00,1058259.00,6224419.00
6-Apr-2015,5000.00,2128450.00,2183800.00,290525.00,414900.00,4312250.00,705425.00,5017675.00
6-Apr-2015,4623.00,4141000.00,3008500.00,544000.00,823000.00,7149500.00,1367000.00,8516500.00
7-Apr-2015,5534.27,2790877.00,6130261.00,509675.00,437026.00,8921138.00,946701.00,9867839.00
10-Apr-2015,10230.00,2429356.00,4690000.00,610644.00,226000.00,7119356.00,836644.00,7956000.00
13-Apr-2015,5576.11,4124366.00,6440724.00,926354.00,441261.00,10565090.00,1367615.00,11932705.00
14-Apr-2015,10230.00,2423143.00,4821000.00,605600.00,297500.00,7244143.00,903100.00,8147243.00
14-Apr-2015,5900.00,3133396.00,3696280.00,373368.00,497842.00,6829676.00,871210.00,7700886.00
23-Apr-2015,4300.00,2749080.00,4238500.00,945814.00,232000.00,6987580.00,1177814.00,8165394.00
1-May-2015,8500.00,4168574.00,6440724.00,958214.00,443600.00,10609298.00,1401814.00,12011112.00
