ProductDates,Length,IntangibleDryWell,IntangibleCompletion,TangibleDryWell,TangibleCompletion,TotalIntangible,TotalTangible,TotalCost
28-Nov-2016,11000.00,2768850.00,3451875.00,416250.00,723200.00,6220725.00,1139450.00,7360175.00
29-Nov-2016,8700.00,2426500.00,4801622.26,931500.00,767134.88,7228122.26,1698634.88,8926757.14
1-Dec-2016,8200.00,1425000.00,1613000.00,194700.00,194500.00,3038000.00,389200.00,3427200.00
5-Dec-2016,6800.00,950300.00,1115600.00,294800.00,261500.00,2065900.00,556300.00,2622200.00
6-Dec-2016,8700.00,1017811.00,1574235.00,186851.00,483751.00,2592046.00,670602.00,3262648.00
12-Dec-2016,7400.00,3487000.00,2180500.00,451690.00,334100.00,5667500.00,785790.00,6453290.00
13-Dec-2016,4550.00,2560000.00,2730000.00,620000.00,360000.00,5290000.00,980000.00,6270000.00
13-Dec-2016,7900.00,2518000.00,2710000.00,592000.00,390000.00,5228000.00,982000.00,6210000.00
13-Dec-2016,4550.00,2560000.00,2730000.00,620000.00,360000.00,5290000.00,980000.00,6270000.00
19-Dec-2016,9800.00,2600000.00,3048761.00,900000.00,706754.00,5648761.00,1606754.00,7255515.00
19-Dec-2016,4550.00,2559000.00,2720000.00,582000.00,390000.00,5279000.00,972000.00,6251000.00
20-Dec-2016,6800.00,1343500.00,2777000.00,334500.00,408500.00,4120500.00,743000.00,4863500.00
28-Dec-2016,4340.00,3557000.00,3066089.00,500000.00,723399.00,6623089.00,1223399.00,7846488.00
30-Dec-2016,14000.00,3313075.00,4585789.00,929200.00,332274.00,7898864.00,1261474.00,9160338.00
3-Jan-2017,8900.00,2475500.00,4191415.26,862500.00,846974.88,6666915.26,1709474.88,8376390.14
3-Jan-2017,10200.00,2426500.00,5403904.00,931500.00,652325.79,7830404.00,1583825.79,9414229.79
3-Jan-2017,8900.00,1830000.00,3048761.26,800000.00,706754.88,4878761.26,1506754.88,6385516.14
7-Jan-2017,8300.00,1830000.00,3048761.00,800000.00,706754.00,4878761.00,1506754.00,6385515.00
9-Jan-2017,10151.00,5840000.00,5859500.00,481000.00,947200.00,11699500.00,1428200.00,13127700.00
10-Jan-2017,9200.00,3217500.00,5403904.00,854600.00,652325.79,8621404.00,1506925.79,10128329.79
10-Jan-2017,8200.00,2602500.00,3122000.00,897500.00,110000.00,5724500.00,1007500.00,6732000.00
10-Jan-2017,10500.00,3217500.00,5403904.00,854500.00,652325.79,8621404.00,1506825.79,10128229.79
11-Jan-2017,9440.00,3217500.00,4801622.00,854500.00,767134.00,8019122.00,1621634.00,9640756.00
23-Jan-2017,8300.00,3217500.00,4801622.00,854500.00,767134.00,8019122.00,1621634.00,9640756.00
31-Jan-2017,10300.00,2193867.00,3196408.00,573975.00,114990.00,5390275.00,688965.00,6079240.00
31-Jan-2017,9800.00,1739850.00,3738525.00,133000.00,762500.00,5478375.00,895500.00,6373875.00
31-Jan-2017,8700.00,1739850.00,3738525.00,133000.00,762500.00,5478375.00,895500.00,6373875.00
31-Jan-2017,9800.00,2193867.00,3196408.00,573795.00,114990.00,5390275.00,688785.00,6079060.00
13-Feb-2017,8800.00,1017811.00,1574235.00,186851.00,296900.00,2592046.00,483751.00,3075797.00
14-Feb-2017,8200.00,1668500.00,3048761.00,364500.00,706754.00,4717261.00,1071254.00,5788515.00
17-Feb-2017,7000.00,1462945.00,2044205.00,209400.00,505800.00,3507150.00,715200.00,4222350.00
20-Feb-2017,7900.00,111845.00,2329593.00,145035.00,276378.00,2441438.00,421413.00,2862851.00
21-Feb-2017,5000.00,2317900.00,2814500.00,448300.00,477800.00,5132400.00,926100.00,6058500.00
21-Feb-2017,8300.00,2036083.00,5418000.00,444000.00,423500.00,7454083.00,867500.00,8321583.00
21-Feb-2017,9440.00,3342000.00,5938217.00,322000.00,736133.00,9280217.00,1058133.00,10338350.00
23-Feb-2017,10560.00,1511900.00,3350994.00,276500.00,227750.00,4862894.00,504250.00,5367144.00
28-Feb-2017,8400.00,2475500.00,4479000.00,862500.00,81000.00,6954500.00,943500.00,7898000.00
28-Feb-2017,8600.00,1017811.00,1574235.00,186851.00,296990.00,2592046.00,483841.00,3075887.00
6-Mar-2017,8600.00,1256245.00,1513055.00,222000.00,470550.00,2769300.00,692550.00,3461850.00
7-Mar-2017,9200.00,2600000.00,3048761.00,900000.00,706754.00,5648761.00,1606754.00,7255515.00
7-Mar-2017,6970.00,1760000.00,3826677.00,45000.00,846217.00,5586677.00,891217.00,6477894.00
7-Mar-2017,8300.00,1549736.00,1387450.00,141953.00,391840.00,2937186.00,533793.00,3470979.00
7-Mar-2017,9800.00,2102980.00,3036572.00,573795.00,706754.00,5139552.00,1280549.00,6420101.00
7-Mar-2017,8400.00,2097000.00,2442000.00,264000.00,562500.00,4539000.00,826500.00,5365500.00
21-Mar-2017,9800.00,3217500.00,4801622.00,854500.00,767134.88,8019122.00,1621634.88,9640756.88
24-Mar-2017,8600.00,2449062.00,5107000.00,861500.00,238500.00,7556062.00,1100000.00,8656062.00
3-Apr-2017,8600.00,1017811.00,1574235.00,186851.00,296900.00,2592046.00,483751.00,3075797.00
14-Apr-2017,9800.00,2434483.00,6278075.00,657951.00,106550.00,8712558.00,764501.00,9477059.00
18-Apr-2017,9800.00,1778431.00,3048761.00,636569.00,706754.00,4827192.00,1343323.00,6170515.00
25-Apr-2017,8000.00,1111845.00,2329593.00,145035.00,276378.00,3441438.00,421413.00,3862851.00
25-Apr-2017,10300.00,2543000.00,4896000.00,321000.00,583500.00,7439000.00,904500.00,8343500.00
1-May-2017,8200.00,1100926.00,1718027.00,159600.00,296782.00,2818953.00,456382.00,3275335.00
4-May-2017,8600.00,1017811.00,1574235.00,186851.00,296900.00,2592046.00,483751.00,3075797.00
9-May-2017,8600.00,1017467.00,1353340.00,204400.00,635665.00,2370807.00,840065.00,3210872.00
22-May-2017,10230.00,1986349.00,3337000.00,444000.00,467000.00,5323349.00,911000.00,6234349.00
23-May-2017,13600.00,4256000.00,4814960.00,800000.00,302000.00,9070960.00,1102000.00,10172960.00
13-Jun-2017,10600.00,2193867.00,3196408.00,573795.00,114990.00,5390275.00,688785.00,6079060.00
6-Jul-2017,9600.00,2448140.00,6250730.00,599305.00,95850.00,8698870.00,695155.00,9394025.00
